customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,vital_stages
1,55,male,blouse,clothing,53,kentucky,l,gray,winter,3.1,yes,express,yes,yes,14,venmo,bi-weekly,adulto
2,19,male,sweater,clothing,64,maine,l,maroon,winter,3.1,yes,express,yes,yes,2,cash,bi-weekly,adolescente
3,50,male,jeans,clothing,73,massachusetts,s,maroon,spring,3.1,yes,free shipping,yes,yes,23,credit card,weekly,adulto
4,21,male,sandals,footwear,90,rhode island,m,maroon,spring,3.5,yes,next day air,yes,yes,49,paypal,weekly,adulto
5,45,male,blouse,clothing,49,oregon,m,turquoise,spring,2.7,yes,free shipping,yes,yes,31,paypal,annually,adulto
6,46,male,sneakers,footwear,20,wyoming,m,white,summer,2.9,yes,standard,yes,yes,14,venmo,weekly,adulto
7,63,male,shirt,clothing,85,montana,m,gray,fall,3.2,yes,free shipping,yes,yes,49,cash,quarterly,tercera_edad
8,27,male,shorts,clothing,34,louisiana,l,charcoal,winter,3.2,yes,free shipping,yes,yes,19,credit card,weekly,adulto
9,26,male,coat,outerwear,97,west virginia,l,silver,summer,2.6,yes,express,yes,yes,8,venmo,annually,adulto
10,57,male,handbag,accessories,31,missouri,m,pink,spring,4.8,yes,2-day shipping,yes,yes,4,cash,quarterly,adulto
11,53,male,shoes,footwear,34,arkansas,l,purple,fall,4.1,yes,store pickup,yes,yes,26,bank transfer,bi-weekly,adulto
12,30,male,shorts,clothing,68,hawaii,s,olive,winter,4.9,yes,store pickup,yes,yes,10,bank transfer,bi-weekly,adulto
13,61,male,coat,outerwear,72,delaware,m,gold,winter,4.5,yes,express,yes,yes,37,venmo,bi-weekly,tercera_edad
14,65,male,dress,clothing,51,new hampshire,m,violet,spring,4.7,yes,express,yes,yes,31,paypal,weekly,tercera_edad
15,64,male,coat,outerwear,53,new york,l,teal,winter,4.7,yes,free shipping,yes,yes,34,debit card,weekly,tercera_edad
16,64,male,skirt,clothing,81,rhode island,m,teal,winter,2.8,yes,store pickup,yes,yes,8,paypal,monthly,tercera_edad
17,25,male,sunglasses,accessories,36,alabama,s,gray,spring,4.1,yes,next day air,yes,yes,44,debit card,bi-weekly,adulto
